SN,act_id,c17_2
5598,"Vegetables – tomatoes, carrots, onions, cabbages, etc.",Seasonally
5598,"Food crops: maize, rice, beans, etc.",Seasonally
5598,"Goats, sheep, pigs, etc.",Throughout the year
5598,"Other livestock such as poultry, rabbits etc.",Throughout the year
6141,"Fruit – bananas, mangos, pineapple, oranges, coconuts, avocado etc.",Seasonally
6141,"Food crops: maize, rice, beans, etc.",Only sometimes
2736,Oil seeds,Seasonally
2736,"Food crops: maize, rice, beans, etc.",Seasonally
2736,"Other livestock such as poultry, rabbits etc.",Throughout the year
5817,Cattle,Throughout the year
5817,"Other livestock such as poultry, rabbits etc.",Throughout the year
5817,"Fruit – bananas, mangos, pineapple, oranges, coconuts, avocado etc.",Seasonally
5817,"Food crops: maize, rice, beans, etc.",Seasonally
5817,"Cash crops: coffee, cotton, cashew nuts, spices etc.",Seasonally
5817,"Vegetables – tomatoes, carrots, onions, cabbages, etc.",Throughout the year
91,"Other livestock such as poultry, rabbits etc.",Throughout the year
91,"Goats, sheep, pigs, etc.",Throughout the year
91,Cattle,Throughout the year
91,"Food crops: maize, rice, beans, etc.",Seasonally
91,Oil seeds,Seasonally
5364,"Food crops: maize, rice, beans, etc.",Seasonally
5364,"Cash crops: coffee, cotton, cashew nuts, spices etc.",Seasonally
92,"Food crops: maize, rice, beans, etc.",Seasonally
92,"Other livestock such as poultry, rabbits etc.",Throughout the year
3466,"Food crops: maize, rice, beans, etc.",Seasonally
8522,"Food crops: maize, rice, beans, etc.",Seasonally
5599,"Other livestock such as poultry, rabbits etc.",Seasonally
5599,"Food crops: maize, rice, beans, etc.",Seasonally
1480,"Food crops: maize, rice, beans, etc.",Only sometimes
1866,"Food crops: maize, rice, beans, etc.",Seasonally
1866,"Cash crops: coffee, cotton, cashew nuts, spices etc.",Seasonally
31,"Food crops: maize, rice, beans, etc.",Seasonally
8360,"Food crops: maize, rice, beans, etc.",Throughout the year
6499,"Food crops: maize, rice, beans, etc.",Seasonally
6499,"Vegetables – tomatoes, carrots, onions, cabbages, etc.",Seasonally
812,"Food crops: maize, rice, beans, etc.",Seasonally
5600,Cattle,Throughout the year
5600,"Food crops: maize, rice, beans, etc.",Seasonally
5600,"Other livestock such as poultry, rabbits etc.",Throughout the year
4755,"Food crops: maize, rice, beans, etc.",Seasonally
9002,"Goats, sheep, pigs, etc.",Throughout the year
9002,"Food crops: maize, rice, beans, etc.",Throughout the year
1867,"Food crops: maize, rice, beans, etc.",Seasonally
5208,"Food crops: maize, rice, beans, etc.",Throughout the year
5601,Cattle,Throughout the year
5601,"Food crops: maize, rice, beans, etc.",Seasonally
813,"Food crops: maize, rice, beans, etc.",Seasonally
813,"Fruit – bananas, mangos, pineapple, oranges, coconuts, avocado etc.",Throughout the year
813,"Cash crops: coffee, cotton, cashew nuts, spices etc.",Throughout the year
1482,"Fruit – bananas, mangos, pineapple, oranges, coconuts, avocado etc.",Seasonally
1482,"Food crops: maize, rice, beans, etc.",Seasonally
6142,"Food crops: maize, rice, beans, etc.",Seasonally
6142,"Fruit – bananas, mangos, pineapple, oranges, coconuts, avocado etc.",Seasonally
3980,"Food crops: maize, rice, beans, etc.",Seasonally
3980,"Cash crops: coffee, cotton, cashew nuts, spices etc.",Seasonally
4539,"Other livestock such as poultry, rabbits etc.",Throughout the year
4539,"Food crops: maize, rice, beans, etc.",Seasonally
8719,"Food crops: maize, rice, beans, etc.",Seasonally
1672,"Food crops: maize, rice, beans, etc.",Seasonally
3981,"Goats, sheep, pigs, etc.",Throughout the year
3981,Cattle,Throughout the year
3981,"Food crops: maize, rice, beans, etc.",Seasonally
6500,"Food crops: maize, rice, beans, etc.",Seasonally
814,"Goats, sheep, pigs, etc.",Throughout the year
814,"Other livestock such as poultry, rabbits etc.",Throughout the year
814,"Food crops: maize, rice, beans, etc.",Throughout the year
814,Cattle,Throughout the year
6143,"Vegetables – tomatoes, carrots, onions, cabbages, etc.",Seasonally
6143,"Food crops: maize, rice, beans, etc.",Throughout the year
6143,"Fruit – bananas, mangos, pineapple, oranges, coconuts, avocado etc.",Throughout the year
9609,Fishing or aquaculture,Throughout the year
4540,"Other livestock such as poultry, rabbits etc.",Throughout the year
4540,Cattle,Throughout the year
4540,"Food crops: maize, rice, beans, etc.",Seasonally
4540,"Goats, sheep, pigs, etc.",Throughout the year
7306,"Food crops: maize, rice, beans, etc.",Seasonally
815,"Food crops: maize, rice, beans, etc.",Seasonally
815,"Vegetables – tomatoes, carrots, onions, cabbages, etc.",Throughout the year
815,Cattle,Throughout the year
3800,"Other livestock such as poultry, rabbits etc.",Throughout the year
3800,"Goats, sheep, pigs, etc.",Throughout the year
3800,"Food crops: maize, rice, beans, etc.",Seasonally
3800,"Cash crops: coffee, cotton, cashew nuts, spices etc.",Seasonally
1175,"Food crops: maize, rice, beans, etc.",Seasonally
3268,Cattle,Throughout the year
9354,"Food crops: maize, rice, beans, etc.",Seasonally
2956,Oil seeds,Seasonally
2956,"Food crops: maize, rice, beans, etc.",Seasonally
2956,Beekeeping,Seasonally
2956,"Cash crops: coffee, cotton, cashew nuts, spices etc.",Seasonally
5818,"Food crops: maize, rice, beans, etc.",Seasonally
5818,Oil seeds,Seasonally
4541,"Food crops: maize, rice, beans, etc.",Seasonally
6348,Cattle,Throughout the year
6348,"Food crops: maize, rice, beans, etc.",Seasonally
6348,"Fruit – bananas, mangos, pineapple, oranges, coconuts, avocado etc.",Throughout the year
6348,Fishing or aquaculture,Throughout the year
8523,"Food crops: maize, rice, beans, etc.",Seasonally
8523,Cattle,Seasonally
816,"Food crops: maize, rice, beans, etc.",Throughout the year
816,"Other livestock such as poultry, rabbits etc.",Throughout the year
816,"Goats, sheep, pigs, etc.",Throughout the year
816,Cattle,Throughout the year
93,"Food crops: maize, rice, beans, etc.",Seasonally
93,Cattle,Throughout the year
93,"Goats, sheep, pigs, etc.",Throughout the year
93,"Other livestock such as poultry, rabbits etc.",Throughout the year
7114,"Food crops: maize, rice, beans, etc.",Seasonally
4756,"Cash crops: coffee, cotton, cashew nuts, spices etc.",Only sometimes
4756,"Food crops: maize, rice, beans, etc.",Seasonally
7420,"Cash crops: coffee, cotton, cashew nuts, spices etc.",Seasonally
2957,"Food crops: maize, rice, beans, etc.",Seasonally
3467,"Other livestock such as poultry, rabbits etc.",Throughout the year
3467,"Food crops: maize, rice, beans, etc.",Seasonally
6637,"Food crops: maize, rice, beans, etc.",Seasonally
9224,"Food crops: maize, rice, beans, etc.",Seasonally
6501,"Fruit – bananas, mangos, pineapple, oranges, coconuts, avocado etc.",Seasonally
6501,"Food crops: maize, rice, beans, etc.",Seasonally
587,"Food crops: maize, rice, beans, etc.",Seasonally
587,"Other livestock such as poultry, rabbits etc.",Throughout the year
8720,"Food crops: maize, rice, beans, etc.",Throughout the year
