SN,loan__id,g_10_1,g_10_2,g_10_3,g_10_6,g_10_8,g10_1n_1,g10_1n_2,g10_1n_3,g10_1n_4
4166,SACCOS,True,True,True,True,True,True,True,False,False
4666,SACCOS,True,True,True,True,False,True,True,False,False
4952,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,True,True,True,True,False
4668,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,True,True,True,False,False
9199,Bank,False,True,True,True,False, , , , 
7217,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,True,True,True,False,False
8396,SACCOS,True,True,True,True,False,True,True,False,False
2479,Bank,True,True,True,True,False,True,True,False,False
8260,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,False,True,True,False,False
8260,Bank,True,True,True,True,False,True,True,False,False
8909,Bank,True,True,True,True,False,True,True,True,False
6232,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,True,True,True,False,False
6233,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,True,True,True,False,False
8184,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,False,True,True,False,False
9752,Bank,True,True,True,True,False,True,True,False,False
9752,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,False,True,True,False,False
732,SACCOS,True,True,True,True,True,True,True,False,True
732,Bank,True,True,True,True,False,True,True,False,False
9073,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,True,True,True,True,True
5173,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,False,True,True,False,False
7741,Bank,True,True,True,True,True,True,True,False,False
7236,"A Government Scheme/Institution eg government programs such as LGA, women, youth, etc",False,True,True,True,True, , , , 
9133,Bank,False,True,False,False,False, , , , 
3167,Bank,True,True,True,True,True,True,True,False,False
8920,Bank,True,True,True,True,True,True,True,False,False
3168,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,True,True,True,False,False
4188,Bank,True,True,True,True,False,True,True,True,False
8924,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,False,True,True,False,False
8615,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,True,True,True,False,False
9135,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,True,True,True,False,False
6893,Bank,True,True,True,True,False,True,True,True,False
1065,Bank,True,True,True,True,False,True,True,True,False
6756,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,False,True,True,True,True,False
8197,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",False,True,False,True,False, , , , 
2062,Bank,True,True,True,True,False,True,True,False,False
6895,Bank,True,True,True,True,True,False,False,False,True
6249,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,True,True,True,False,False
1616,Bank,True,True,True,True,True,True,True,False,False
7764,Bank,False,True,True,True,False, , , , 
4987,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,True,True,True,True,False
7248,Bank,True,True,True,True,False,True,False,True,True
746,SACCOS,True,True,True,True,True,True,True,False,False
2497,Bank,True,True,True,True,False,False,False,True,True
2899,"A Government Scheme/Institution eg government programs such as LGA, women, youth, etc",True,True,True,True,True,True,True,False,False
1619,"A Government Scheme/Institution eg government programs such as LGA, women, youth, etc",True,True,True,True,False,True,True,True,False
1620,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",False,True,True,True,False, , , , 
9767,Bank,True,True,True,True,False,True,True,True,False
8621,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,False,True,True,True,False
9211,"A Government Scheme/Institution eg government programs such as LGA, women, youth, etc",True,True,True,True,True,True,True,False,False
2692,"A Government Scheme/Institution eg government programs such as LGA, women, youth, etc",True,True,True,False,False,True,True,False,False
9770,SACCOS,True,True,True,True,True,True,True,True,False
7789,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,True,True,True,False,True
8624,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,True,True,True,True,False
8624,SACCOS,True,True,True,True,True,True,True,True,False
8406,"A Government Scheme/Institution eg government programs such as LGA, women, youth, etc",True,True,True,True,False,True,True,False,False
755,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,True,True,True,False,False
8626,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,False,True,True,False,False
2504,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,True,True,True,False,False
9474,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,False,True,True,False,False
1827,Bank,True,True,True,True,False,True,True,False,False
5008,Bank,True,True,True,True,False,True,True,False,False
9777,Bank,True,True,False,True,False,True,True,True,False
2698,SACCOS,True,True,True,True,False,True,True,False,False
2315,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,True,True,True,True,False
7265,SACCOS,True,True,False,True,True,True,True,True,False
8698,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,False,True,True,False,False
6769,Bank,True,True,True,True,True,True,True,True,False
7269,Bank,True,True,True,True,False,True,True,False,False
8700,SACCOS,True,True,True,True,True,True,True,False,False
8634,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,False,True,True,False,False
354,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,False,True,True,True,False,False
6779,"A Government Scheme/Institution eg government programs such as LGA, women, youth, etc",True,True,True,True,False,True,True,False,False
766,SACCOS,True,True,True,True,True,True,True,False,False
8078,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,False,False,True,True,True,False
3954,Bank,True,True,True,True,False,True,True,False,False
2705,SACCOS,False,True,True,True,False, , , , 
6914,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,True,True,True,False,False
6786,Bank,True,True,True,True,False,True,True,True,False
7394,Bank,True,True,True,True,False,True,True,True,False
9909,Bank,True,True,True,True,False,True,True,True,False
8962,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,False,True,True,False,False
7828,Bank,True,True,True,True,True,True,True,False,False
6787,"A Government Scheme/Institution eg government programs such as LGA, women, youth, etc",True,True,True,True,False,True,True,False,False
3227,Bank,True,True,False,True,False,True,True,False,False
2707,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,True,True,True,False,False
1643,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,True,False,True,True,True
9600,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,True,True,True,False,False
5968,"A Government Scheme/Institution eg government programs such as LGA, women, youth, etc",True,True,True,True,True,True,True,True,False
778,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,True,True,True,True,False
2712,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",False,True,True,True,True, , , , 
8112,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,False,True,True,False,False
7397,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,False,True,True,False,False
2331,Bank,True,True,True,True,False,True,True,False,False
9601,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,True,True,True,False,False
5199,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,False,True,True,True,False,False
6985,Bank,True,True,True,True,True,True,True,True,False
6791,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,False,True,True,False,False
8645,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,True,True,True,False,False
78,Bank,True,True,True,True,False,True,True,False,False
9155,Bank,True,True,True,True,False,True,True,True,False
4731,"A Government Scheme/Institution eg government programs such as LGA, women, youth, etc",True,True,True,True,False,True,True,True,False
5348,Bank,False,False,False,False,False, , , , 
7287,SACCOS,True,True,True,True,False,True,True,True,False
6619,Bank,True,True,True,True,False,True,True,False,False
9094,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,False,True,True,False,False
8979,Bank,True,True,True,True,False,True,True,False,False
9537,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,False,True,True,False,False
8414,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",False,True,True,True,False, , , , 
7291,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",False,True,True,True,True, , , , 
7858,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,True,True,True,True,False
7859,Bank,False,False,True,False,False, , , , 
9292,SACCOS,True,True,True,True,False,True,True,False,False
2939,SACCOS,True,True,True,True,True,True,True,False,False
8988,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,True,True,True,False,False
5981,"A Government Scheme/Institution eg government programs such as LGA, women, youth, etc",True,True,True,True,False,True,True,False,False
7874,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,True,True,True,True,False
1661,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,True,True,True,True,False
6801,Bank,True,True,True,True,False,True,True,False,False
8712,Bank,True,True,True,True,False,True,True,True,False
9915,Bank,True,True,True,True,False,True,True,False,False
6284,"A Government Scheme/Institution eg government programs such as LGA, women, youth, etc",True,True,True,True,True,True,True,False,False
5587,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,False,True,True,False,False
8995,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,True,True,True,False,False
